date,ind,ind_d
865,-0.7638177,0.0295571
866,-0.8361155,-0.0722978
867,-0.8730768,-0.0369613
868,-0.9294468,-0.05637
869,-0.9535217,-0.0240749
870,-0.9084508,0.0450708
871,-0.9146771,-0.0062262
872,-0.9200478,-0.0053707
873,-0.8390969,0.0809509
874,-0.6669528,0.1721441
875,-0.4791096,0.1878432
876,-0.434537,0.0445727
877,-0.3246823,0.1098546
878,-0.4344918,-0.1098095
879,-0.315505,0.1189868
880,-0.4174283,-0.1019233
881,-0.5066037,-0.0891754
882,-0.522921,-0.0163172
883,-0.6581304,-0.1352094
884,-0.515642,0.1424884
885,-0.5068852,0.0087568
886,-0.4201352,0.0867501
887,-0.6226712,-0.2025361
888,-0.6848459,-0.0621747
889,-0.6840448,0.0008011
890,-0.7185043,-0.0344594
891,-0.7100449,0.0084594
892,-0.7752187,-0.0651739
893,-0.8049752,-0.0297565
894,-0.8042869,0.0006883
895,-0.7979261,0.0063608
896,-0.8371183,-0.0391921
897,-0.8429717,-0.0058535
898,-0.8667897,-0.023818
899,-0.7502004,0.1165893
900,-0.8131682,-0.0629678
901,-0.8421225,-0.0289543
902,-0.7559805,0.086142
903,-0.8246024,-0.0686219
904,-0.7962751,0.0283273
905,-0.9076298,-0.1113547
906,-0.8532518,0.054378
907,-0.809684,0.0435678
908,-0.9499021,-0.140218
909,-0.9431596,0.0067425
910,-0.922626,0.0205336
911,-0.9651012,-0.0424752
912,-0.9014934,0.0636078
913,-0.9808599,-0.0793665
914,-1.005936,-0.0250759
915,-1.030973,-0.0250368
916,-0.9252886,0.105684
917,-0.8627416,0.0625469
918,-0.9359949,-0.0732533
919,-0.6899968,0.2459981
920,-0.7071415,-0.0171447
921,-0.5946108,0.1125308
922,-0.6778744,-0.0832637
923,-0.663092,0.0147825
924,-0.4682369,0.1948551
925,-0.5578752,-0.0896383
926,-0.488668,0.0692072
927,-0.3816077,0.1070603
928,-0.4879552,-0.1063475
929,-0.4298679,0.0580873
930,-0.5102772,-0.0804093
931,-0.3316608,0.1786164
932,-0.4916458,-0.159985
933,-0.4244251,0.0672207
934,-0.6455124,-0.2210873
935,-0.5386044,0.106908
936,-0.5579022,-0.0192978
937,-0.5910774,-0.0331752
938,-0.4960611,0.0950163
939,-0.5215615,-0.0255004
940,-0.4557727,0.0657888
941,-0.5102699,-0.0544972
942,-0.4305401,0.0797298
943,-0.4532936,-0.0227535
944,-0.4582495,-0.0049559
945,-0.4793715,-0.021122
946,-0.4853283,-0.0059569
947,-0.3794795,0.1058488
948,-0.4190763,-0.0395968
949,-0.3435485,0.0755278
950,-0.1927724,0.1507761
951,-0.2543935,-0.0616211
952,-0.2621206,-0.0077271
953,-0.2781594,-0.0160388
954,-0.1831042,0.0950552
955,-0.1134195,0.0696846
956,-0.0342967,0.0791229
957,-0.0467918,-0.0124951
958,-0.0543634,-0.0075716
959,0.0571674,0.1115308
960,0.126082,0.0689146
961,0.1640593,0.0379773
962,0.1817826,0.0177233
963,0.1526089,-0.0291737
964,0.0506769,-0.101932
965,0.1196321,0.0689552
