date,AccountsPayablesTDays,AccountsPayablesTRate,BLEV,CurrentRatio,DebtEquityRatio,DilutedEPS,DVRAT,EPS,EquityToAsset,GrossIncomeRatio,HBETA,HSIGMA,LFLO,MA10,MA120,MA20,MA5,MA60,MLEV,NetAssetGrowRate,NetProfitGrowRate,PB,PE,REVS10,REVS20,REVS5,ROA,ROE,VOL10,VOL120,VOL20,VOL5,VOL60,EARNMOM,FiftyTwoWeekHigh,Skewness,TVMA20,TVSTD20,VEMA26,VMACD,VR,VSTD20,KlingerOscillator,MoneyFlow20,MTM,Hurst,T_1closing_price
2010-12-24 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0072,5.897,0.7769,0.9081,0.435,0.0182,25.9057,196.8761,163.9084,198.505,192.3521,180.5255,1.0001,0.2466,0.0658,10.1653,37.8993,0.9545,0.9106,0.9232,0.2547,0.3103,0.0055,0.004,0.005,0.005,0.0056,4,0.6966,1.0655,944.3163,306.7147,5069469.318,-318708.155,1.1687,1439326.214,-0.2272,18919106886,-8.9999,0.6002,190.71
2010-12-27 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0124,5.897,0.7769,0.9081,0.4477,0.0182,25.8749,195.476,164.3817,196.833,189.474,180.7615,1.0001,0.2466,0.0658,9.8567,36.7485,0.9289,0.8455,0.9271,0.2547,0.3103,0.0054,0.004,0.0049,0.0045,0.0056,4,0.6338,-0.4359,914.4967,284.0348,5029111.591,-230838.5666,0.9136,1358280.672,-0.311,18308337985,-14.0005,0.6092,188.72
2010-12-28 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0094,5.897,0.7769,0.9081,0.444,0.0183,25.8763,194.0111,164.8602,195.7555,187.326,180.9695,1.0001,0.2466,0.0658,9.8712,36.8028,0.926,0.8948,0.9446,0.2547,0.3103,0.0052,0.0041,0.0048,0.0042,0.0057,4,0.6368,-0.499,890.3399,264.2957,5013447.325,-121706.1558,0.8146,1279981.944,-0.3953,17826781798,-14.6495,0.622,182.99
2010-12-29 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.009,5.897,0.7769,0.9081,0.446,0.0183,25.8912,192.5412,165.356,194.9355,186.3361,181.2835,1.0001,0.2466,0.0658,10.0188,37.353,0.9268,0.919,0.9741,0.2547,0.3103,0.0051,0.0041,0.0048,0.004,0.0057,4,0.6668,-0.3072,880.1477,272.8315,4871470.486,-261733.3832,0.7915,1310328.592,-0.4289,17625193915,-14.6992,0.6098,183.26
2010-12-30 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0063,5.897,0.7769,0.9081,0.4454,0.0183,25.869,190.036,165.8237,194.1235,184.5799,181.5035,1.0001,0.2466,0.0658,9.7996,36.5357,0.879,0.918,0.954,0.2547,0.3103,0.0048,0.0041,0.0048,0.0041,0.0057,4,0.6222,-0.2346,874.9521,274.1242,4820062.894,-192409.93,0.6479,1311509.427,-0.4729,17527376598,-25.0513,0.6202,186
2010-12-31 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0034,5.897,0.7769,0.9081,0.4448,0.0183,25.8799,187.9859,166.293,193.33,183.6198,181.6766,1.0001,0.2466,0.0658,9.9068,36.9353,0.8997,0.9206,0.9746,0.2547,0.3103,0.0047,0.0041,0.0048,0.0045,0.0058,4,0.644,-0.0403,873.9106,274.2079,4804390.606,-77988.303,0.6161,1311060.441,-0.4684,17508961998,-20.5009,0.6246,181.93
2011-1-4 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0019,5.897,0.7769,0.9081,0.441,0.0183,25.8885,186.798,166.7779,192.954,184.1219,181.9716,1.0001,0.2466,0.0658,9.9919,37.2526,0.9398,0.961,1.0137,0.2547,0.3103,0.0047,0.0042,0.0049,0.0048,0.0058,4,0.6613,0.0633,887.7403,279.3329,4896378.413,187372.6028,0.7819,1354736.641,-0.4235,17785351626,-11.8798,0.6227,183.92
2011-1-5 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.004,5.897,0.7769,0.9081,0.4416,0.0183,25.8644,185.506,167.2175,192.13,183.686,182.213,1.0001,0.2466,0.0658,9.7538,36.365,0.9334,0.9166,0.9881,0.2547,0.3103,0.0046,0.0042,0.005,0.005,0.0059,4,0.6129,0.1881,909.9032,274.6519,4964780.16,320595.6174,0.7568,1339041.577,-0.4259,18224967606,-12.92,0.6434,185.5
2011-1-6 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0047,5.897,0.7769,0.9081,0.4419,0.0183,25.8597,184.435,167.6274,191.333,182.534,182.5336,1.0001,0.2466,0.0658,9.7085,36.1963,0.9439,0.9187,0.969,0.2547,0.3103,0.0046,0.0042,0.0051,0.0052,0.0058,4,0.6037,0.3011,915.5755,268.2405,4875422.815,129081.8184,0.7633,1285414.876,-0.4462,18343327811,-10.7092,0.656,181.08
2011-1-7 0:00,-472.9375,-0.7612,1.0006,3.5358,0.2904,4.42,-0.0037,5.897,0.7769,0.9081,0.4356,0.0183,25.8568,183.336,168.0358,190.5561,182.0921,182.8883,1.0001,0.2466,0.0658,9.6805,36.0918,0.9424,0.9204,0.9879,0.2547,0.3103,0.0045,0.0042,0.0051,0.0049,0.0058,4,0.598,0.4163,919.2646,262.3032,4740456.68,-83117.4922,0.6619,1233910.64,-0.4729,18416385764,-10.9902,0.6533,180.24
